"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.0767 (0.3206),0.0879 (0.3213),901.9. (471.0),915.0* (463.2),0.0235** (0.0076),0.0218** (0.0075),0.0095. (0.0056),0.0094. (0.0056)
male,1.202*** (0.0409),1.209*** (0.0408),"2,446.8*** (528.2)","2,465.5*** (532.6)",0.0424*** (0.0010),0.0429*** (0.0010),0.0090*** (0.0006),0.0090*** (0.0006)
patient_male,0.1067** (0.0410),0.1022* (0.0409),-619.0 (576.8),-619.4 (574.2),0.0010 (0.0010),0.0010 (0.0010),0.0004 (0.0006),0.0004 (0.0006)
Fixed-Effects:,-----------------,-----------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,_________________,_________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"1,591,296","1,591,289","1,591,296","1,591,289","1,591,296","1,591,289","1,591,296","1,591,289"
R2,0.23033,0.23187,0.00142,0.00147,0.04995,0.05069,0.00240,0.00245
Within R2,0.00289,0.00293,0.00014,0.00015,0.00269,0.00275,0.00056,0.00056
