"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,1.282*** (0.3316),1.215*** (0.3307),"1,796.4 (1,329.9)","1,765.4 (1,329.2)",0.0303*** (0.0073),0.0286*** (0.0072),0.0145* (0.0061),0.0143* (0.0061)
male,-3.451*** (0.0278),-3.454*** (0.0278),-424.9. (218.2),-426.7. (218.0),-0.0144*** (0.0006),-0.0145*** (0.0006),-0.0006 (0.0005),-0.0007 (0.0005)
patient_male,0.0061 (0.0277),0.0058 (0.0276),355.0 (216.8),354.4 (216.4),0.0003 (0.0006),0.0003 (0.0006),0.0003 (0.0005),0.0003 (0.0005)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,----------------,----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,________________,________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"2,794,295","2,794,184","2,794,295","2,794,184","2,794,295","2,794,184","2,794,295","2,794,184"
R2,0.04604,0.04835,0.00083,0.00086,0.00480,0.00572,0.00678,0.00682
Within R2,0.03390,0.03402,2.13e-5,2.13e-5,0.00042,0.00042,1.16e-5,1.14e-5
