"",income_reg_list[[..,income_reg_list[[..,log_income_reg_l..,log_income_reg_l..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-7,934.8 (6,781.9)","-6,066.5 (6,757.2)",-0.0215 (0.0142),-0.0169 (0.0141),-0.0097 (0.0108),-0.0093 (0.0107),-0.1133. (0.0627),-0.0693 (0.0604),-0.0250* (0.0116),-0.0172 (0.0113)
male,"14,321.3*** (822.5)","15,090.4*** (815.6)",0.0316*** (0.0016),0.0332*** (0.0016),-0.0186*** (0.0013),-0.0185*** (0.0013),-0.3572*** (0.0077),-0.3395*** (0.0074),-0.0790*** (0.0014),-0.0759*** (0.0014)
patient_male,"-2,014.8* (824.3)","-1,723.3* (817.1)",-0.0038* (0.0016),-0.0031* (0.0016),-0.0016 (0.0013),-0.0018 (0.0013),-0.0243** (0.0078),-0.0183* (0.0074),-0.0051*** (0.0014),-0.0041** (0.0014)
Fixed-Effects:,-------------------,-------------------,------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,___________________,___________________,__________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"3,602,081","3,601,901","2,505,170","2,505,068","3,602,081","3,601,901","403,817","403,799","403,817","403,799"
R2,0.05653,0.06671,0.10677,0.11895,0.00628,0.01120,0.08820,0.16146,0.09281,0.15659
Within R2,0.00070,0.00078,0.00078,0.00086,0.00041,0.00041,0.00525,0.00514,0.00760,0.00754
