"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.7590*** (0.2176),0.7519*** (0.2170),"1,545.7*** (300.5)","1,546.5*** (297.6)",0.0369*** (0.0051),0.0355*** (0.0050),0.0110** (0.0036),0.0110** (0.0036)
male,1.157*** (0.0236),1.167*** (0.0235),"1,984.6*** (221.9)","1,991.9*** (221.1)",0.0418*** (0.0005),0.0422*** (0.0005),0.0099*** (0.0004),0.0099*** (0.0004)
patient_male,0.0249 (0.0236),0.0252 (0.0236),-385.4. (232.7),-383.7. (232.1),-0.0005 (0.0005),-0.0005 (0.0005),4.79e-5 (0.0004),5.3e-5 (0.0004)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,625,845","4,625,812","4,625,845","4,625,812","4,625,845","4,625,812","4,625,845","4,625,812"
R2,0.22499,0.22675,0.00161,0.00163,0.04679,0.04748,0.00205,0.00207
Within R2,0.00269,0.00274,0.00015,0.00015,0.00273,0.00278,0.00067,0.00067
