"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,1.313*** (0.2936),1.291*** (0.2918),"2,092.4*** (376.0)","2,084.4*** (374.5)",0.0472*** (0.0068),0.0460*** (0.0068),0.0124** (0.0046),0.0123** (0.0046)
male,1.134*** (0.0288),1.144*** (0.0288),"1,737.5*** (188.4)","1,741.6*** (185.5)",0.0415*** (0.0007),0.0418*** (0.0007),0.0104*** (0.0004),0.0104*** (0.0004)
patient_male,-0.0183 (0.0289),-0.0154 (0.0288),-271.9 (196.7),-271.6 (198.0),-0.0013* (0.0007),-0.0013. (0.0007),-0.0001 (0.0004),-0.0001 (0.0004)
Fixed-Effects:,-----------------,-----------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,_________________,_________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"3,034,549","3,034,523","3,034,549","3,034,523","3,034,549","3,034,523","3,034,549","3,034,523"
R2,0.22275,0.22461,0.00224,0.00226,0.04442,0.04510,0.00207,0.00209
Within R2,0.00262,0.00267,0.00016,0.00016,0.00276,0.00280,0.00074,0.00074
