"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.8113*** (0.2153),0.8056*** (0.2152),"1,427.5*** (237.7)","1,422.0*** (237.5)",0.1040*** (0.0147),0.1018*** (0.0147),0.0449*** (0.0052),0.0437*** (0.0052),0.0239*** (0.0053),0.0238*** (0.0053),0.0118** (0.0039),0.0117** (0.0039)
patient_male,0.0659** (0.0221),0.0652** (0.0220),147.1 (90.05),147.1 (89.77),0.0055*** (0.0010),0.0055*** (0.0010),0.0028*** (0.0005),0.0029*** (0.0005),0.0007 (0.0006),0.0007 (0.0006),0.0002 (0.0003),0.0002 (0.0003)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,-----------------,-----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,_________________,_________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,314,117","4,314,109","4,314,117","4,314,109","4,314,117","4,314,109","4,314,117","4,314,109","4,314,117","4,314,109","4,314,117","4,314,109"
R2,0.21326,0.21463,0.00389,0.00391,0.03717,0.03823,0.03812,0.03901,0.04904,0.04908,0.00095,0.00098
Within R2,3.21e-5,3.16e-5,8.22e-6,8.18e-6,9.84e-5,9.53e-5,6.33e-5,6.1e-5,1.72e-5,1.72e-5,1.5e-5,1.48e-5
