"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.8090*** (0.2149),0.7936*** (0.2146),"1,330.2*** (302.1)","1,313.5*** (303.0)",0.0796*** (0.0120),0.0791*** (0.0120),0.0375*** (0.0053),0.0372*** (0.0053),0.0192*** (0.0056),0.0191*** (0.0056),0.0178*** (0.0047),0.0178*** (0.0047)
male,1.186*** (0.0226),1.189*** (0.0226),"2,045.7*** (221.8)","2,047.5*** (221.6)",0.0668*** (0.0010),0.0669*** (0.0010),0.0421*** (0.0005),0.0421*** (0.0005),0.0216*** (0.0006),0.0216*** (0.0006),0.0129*** (0.0004),0.0129*** (0.0004)
patient_male,0.0265 (0.0226),0.0258 (0.0226),-336.9 (231.8),-336.7 (230.8),0.0002 (0.0010),0.0001 (0.0010),0.0002 (0.0005),0.0002 (0.0005),5.24e-5 (0.0006),5.51e-5 (0.0006),-0.0004 (0.0004),-0.0004 (0.0004)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,437,545","4,437,505","4,437,545","4,437,505","4,437,545","4,437,505","4,437,545","4,437,505","4,437,545","4,437,505","4,437,545","4,437,505"
R2,0.20792,0.20874,0.00132,0.00133,0.04538,0.04574,0.04534,0.04569,0.05505,0.05508,0.00241,0.00244
Within R2,0.00298,0.00300,0.00014,0.00014,0.00237,0.00238,0.00300,0.00301,0.00087,0.00087,0.00109,0.00110
