"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.9476*** (0.1873),0.8746*** (0.1868),"1,978.7** (706.4)","1,934.8** (706.1)",0.0232*** (0.0044),0.0219*** (0.0043),0.0148*** (0.0040),0.0146*** (0.0040)
patient_male,-0.0414* (0.0188),-0.0510** (0.0187),-53.62 (96.49),-59.99 (96.36),-0.0004 (0.0004),-0.0006 (0.0004),-5.59e-5 (0.0003),-8.53e-5 (0.0003)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"7,295,219","7,294,912","7,295,219","7,294,912","7,295,219","7,294,912","7,295,219","7,294,912"
R2,0.01545,0.01943,0.00140,0.00148,0.00565,0.00657,0.00498,0.00504
Within R2,2.55e-5,2.45e-5,5.48e-6,5.35e-6,1.03e-5,9.54e-6,1.04e-5,1.01e-5
