"","model 1","model 2","model 3","model 4","model 5","model 6","model 7","model 8","model 9","model 10","model 11","model 12","model 13","model 14","model 15","model 16","model 17","model 18","model 19","model 20","model 21","model 22","model 23","model 24","model 25","model 26","model 27","model 28","model 29","model 30","model 31","model 32","model 33","model 34","model 35","model 36","model 37","model 38","model 39","model 40"
"tb_disab_by_10","  ","  ","  ","  ","  ","  ","76.80 (1,490,554,193.4)","-427.6 (64,665,398.1)","  ","  ","  ","  ","  ","  ","-0.0654 (231,534.4)","-0.3413 (9,182.3)","  ","  ","  ","  ","  ","  ","-0.0991 (7,671.2)","0.3801 (235.6)","  ","  ","  ","  ","  ","  ","-0.0491 (5,941.7)","0.4733 (207.6)","  ","  ","  ","  ","  ","  ","0.0641 (5,506.0)","0.1144 (214.8)"
"Fixed-Effects:","-----------------","-----------------------","-----------------","--------------------------","-----------------","-------------------------","-----------------------","---------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-----------------","-------------------","-----------------","-------------------","-----------------","-------------------","-----------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------"
"family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"birth_year","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes"
"birth_month","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes"
"________________","_________________","_______________________","_________________","__________________________","_________________","_________________________","_______________________","_____________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","_________________","___________________","_________________","___________________","_________________","___________________","_________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family"
"Observations","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552"
"R2","0.40810","0.40815","0.40810","0.40815","0.40810","0.40815","0.40810","0.40815","0.34017","0.35494","0.34017","0.35494","0.34018","0.35494","0.34018","0.35494","0.20854","0.20886","0.20854","0.20886","0.20854","0.20886","0.20854","0.20886","0.21661","0.21669","0.21661","0.21669","0.21661","0.21669","0.21661","0.21669","0.23787","0.23806","0.23787","0.23805","0.23787","0.23805","0.23787","0.23805"
"Within R2","0.00010","1.91e-5","0.00011","2.2e-5","0.00011","2.44e-5","0.00010","1.89e-5","0.00189","0.02219","0.00189","0.02219","0.00189","0.02219","0.00189","0.02219","0.00123","0.00020","0.00123","0.00020","0.00123","0.00020","0.00123","0.00020","0.00039","5.14e-6","0.00039","5.41e-6","0.00039","5.46e-6","0.00039","4.76e-6","0.00023","0.00015","0.00022","0.00014","0.00022","0.00014","0.00022","0.00014"
