"",model 1,model 2,model 3,model 4
Dependent Var.:,outpatient_count,total_dot,eme_dummy,major
 , , , , 
CP,1.627*** (0.3058),"2,214.2* (1,041.3)",0.0204*** (0.0051),0.0117* (0.0048)
male,-6.580*** (0.0351),"-2,097.7*** (215.5)",-0.0187*** (0.0006),-0.0115*** (0.0005)
patient_male,-0.0608. (0.0350),-220.8 (217.8),-0.0006 (0.0006),0.0003 (0.0005)
Fixed-Effects:,------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
__________________,__________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"4,582,365","4,582,365","4,582,365","4,582,365"
R2,0.10880,0.00316,0.01050,0.00442
Within R2,0.05040,0.00015,0.00056,0.00059
