"",model 1,model 2,model 3,model 4
Dependent Var.:,outpatient_count,total_dot,eme_dummy,major
 , , , , 
CP,1.254*** (0.3699),"1,778.6 (1,288.2)",0.0190** (0.0064),0.0073 (0.0060)
male,-6.615*** (0.0470),"-2,262.2*** (290.0)",-0.0209*** (0.0008),-0.0126*** (0.0007)
patient_male,-0.1181* (0.0469),-522.4. (295.6),-0.0011 (0.0008),0.0005 (0.0007)
Fixed-Effects:,------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
__________________,__________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"2,589,831","2,589,831","2,589,831","2,589,831"
R2,0.10812,0.00322,0.01107,0.00465
Within R2,0.05047,0.00017,0.00069,0.00069
