"",model 1,model 2,model 3,model 4
Dependent Var.:,outpatient_count,total_dot,eme_dummy,major
 , , , , 
CP,1.319*** (0.2414),"1,057.8. (576.1)",0.0168*** (0.0041),0.0145*** (0.0040)
male,-6.639*** (0.0230),"-2,333.2*** (124.6)",-0.0154*** (0.0004),-0.0112*** (0.0003)
patient_male,-0.0377 (0.0231),-137.6 (124.8),-0.0010* (0.0004),0.0002 (0.0003)
Fixed-Effects:,------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
__________________,__________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"10,483,482","10,483,482","10,483,482","10,483,482"
R2,0.11139,0.00409,0.00979,0.00447
Within R2,0.05181,0.00023,0.00039,0.00057
