"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.1890 (0.2784),0.2002 (0.2790),"1,897.1 (1,181.5)","1,899.9 (1,181.4)",0.0407** (0.0150),0.0411** (0.0150),0.0197** (0.0075),0.0198** (0.0075),0.0130. (0.0074),0.0130. (0.0074),0.0056 (0.0061),0.0056 (0.0061)
male,-2.965*** (0.0162),-2.954*** (0.0161),-663.9*** (121.2),-661.7*** (120.5),-0.0258*** (0.0008),-0.0260*** (0.0007),-0.0155*** (0.0004),-0.0154*** (0.0004),0.0158*** (0.0004),0.0158*** (0.0004),-0.0005 (0.0003),-0.0005 (0.0003)
patient_male,-0.0612*** (0.0162),-0.0528** (0.0162),91.37 (119.3),93.53 (118.2),-0.0031*** (0.0008),-0.0033*** (0.0007),-0.0021*** (0.0004),-0.0020*** (0.0004),-0.0005 (0.0004),-0.0005 (0.0004),-2.7e-6 (0.0003),-1.32e-5 (0.0003)
Fixed-Effects:,-------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,----------------,-----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,___________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________,__________________,__________________,________________,_________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"6,975,894","6,975,704","6,975,894","6,975,704","6,975,894","6,975,704","6,975,894","6,975,704","6,975,894","6,975,704","6,975,894","6,975,704"
R2,0.03999,0.04170,0.00080,0.00081,0.00196,0.00234,0.00283,0.00299,0.01684,0.01691,0.00608,0.00608
Within R2,0.02795,0.02787,3.67e-5,3.65e-5,0.00049,0.00056,0.00054,0.00053,0.00084,0.00084,1.76e-6,1.83e-6
