"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.4745*** (0.1259),0.4371*** (0.1255),864.6. (446.2),838.8. (446.1),0.0166*** (0.0031),0.0157*** (0.0031),0.0091*** (0.0027),0.0090*** (0.0027)
male,-3.600*** (0.0122),-3.601*** (0.0122),-703.9*** (89.57),-704.8*** (89.64),-0.0149*** (0.0003),-0.0149*** (0.0003),-0.0013*** (0.0002),-0.0013*** (0.0002)
patient_male,-0.0323** (0.0122),-0.0359** (0.0122),-68.11 (90.11),-70.58 (90.08),-0.0008** (0.0003),-0.0009** (0.0003),-0.0002 (0.0002),-0.0002 (0.0002)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,827,988","14,827,283","14,827,988","14,827,283","14,827,988","14,827,283","14,827,988","14,827,283"
R2,0.04716,0.04959,0.00088,0.00090,0.00466,0.00559,0.00655,0.00658
Within R2,0.03608,0.03621,3.56e-5,3.57e-5,0.00043,0.00043,1.13e-5,1.13e-5
