"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.3609* (0.1700),0.3241. (0.1696),525.1 (447.8),498.6 (448.0),0.0152*** (0.0041),0.0145*** (0.0041),0.0095** (0.0036),0.0094** (0.0036)
patient_male,0.0079 (0.0167),0.0046 (0.0167),-124.9 (117.4),-127.4 (117.5),-0.0010** (0.0004),-0.0011** (0.0004),-0.0003 (0.0003),-0.0003 (0.0003)
Fixed-Effects:,----------------,----------------,--------------,--------------,------------------,------------------,-----------------,-----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,________________,________________,______________,______________,__________________,__________________,_________________,_________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,524,942","8,524,526","8,524,942","8,524,526","8,524,942","8,524,526","8,524,942","8,524,526"
R2,0.01182,0.01396,0.00102,0.00105,0.00388,0.00461,0.00682,0.00686
Within R2,3.35e-6,2.62e-6,1.4e-6,1.43e-6,5.73e-6,5.73e-6,4.13e-6,4.11e-6
