"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.4850*** (0.1315),0.4483*** (0.1311),866.6. (446.6),841.0. (446.5),0.0166*** (0.0031),0.0157*** (0.0031),0.0091*** (0.0027),0.0090*** (0.0027)
patient_male,0.0011 (0.0126),-0.0024 (0.0126),-61.58 (90.02),-64.03 (89.99),-0.0006* (0.0003),-0.0007** (0.0003),-0.0002 (0.0002),-0.0002 (0.0002)
Fixed-Effects:,------------------,------------------,--------------,--------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,______________,______________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,827,988","14,827,283","14,827,988","14,827,283","14,827,988","14,827,283","14,827,988","14,827,283"
R2,0.01150,0.01389,0.00084,0.00087,0.00423,0.00516,0.00654,0.00657
Within R2,5.73e-6,4.92e-6,7.24e-7,7.18e-7,5.42e-6,5.17e-6,3.67e-6,3.64e-6
