"",marr_reg_list[..,marr_reg_list[..,fert_reg_list[[1]],fert_reg_list[[2]]
Dependent Var.:,marr,marr,fertility,fertility
 , , , , 
CP,-0.0066 (0.0061),-0.0079 (0.0061),0.0009 (0.0015),0.0006 (0.0015)
patient_male,-0.0007 (0.0006),-0.0007 (0.0006),-0.0007*** (0.0001),-0.0007*** (0.0001)
Fixed-Effects:,----------------,----------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes
__________________,________________,________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"12,851,148","12,850,579","13,226,683","13,226,048"
R2,0.16310,0.16410,0.00647,0.00675
Within R2,1.22e-6,1.59e-6,2.48e-6,2.62e-6
