"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.4256** (0.1516),0.4003** (0.1512),720.1 (490.9),703.9 (490.8),0.0168*** (0.0037),0.0162*** (0.0037),0.0110*** (0.0033),0.0109*** (0.0033)
male,-3.602*** (0.0122),-3.602*** (0.0122),-694.9*** (89.54),-695.8*** (89.61),-0.0149*** (0.0003),-0.0149*** (0.0003),-0.0012*** (0.0002),-0.0012*** (0.0002)
patient_male,-0.0280* (0.0122),-0.0321** (0.0122),-76.04 (90.19),-78.88 (90.18),-0.0007* (0.0003),-0.0008** (0.0003),-0.0002 (0.0002),-0.0002 (0.0002)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,907,445","14,906,738","14,907,445","14,906,738","14,907,445","14,906,738","14,907,445","14,906,738"
R2,0.04717,0.04960,0.00088,0.00091,0.00465,0.00559,0.00658,0.00662
Within R2,0.03606,0.03620,3.44e-5,3.44e-5,0.00043,0.00043,1.08e-5,1.09e-5
