"",marr_reg_list[[1]],marr_reg_list[[2]],fert_reg_list[[1]],fert_reg_list[[2]]
Dependent Var.:,marr,marr,fertility,fertility
 , , , , 
CP,-0.0123 (0.0110),-0.0135 (0.0109),-0.0016 (0.0026),-0.0018 (0.0026)
male,-0.0857*** (0.0011),-0.0856*** (0.0011),-0.0108*** (0.0002),-0.0107*** (0.0002)
patient_male,-0.0011 (0.0010),-0.0012 (0.0010),-0.0008*** (0.0002),-0.0008*** (0.0002)
Fixed-Effects:,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes
__________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"4,241,524","4,241,352","4,367,071","4,366,876"
R2,0.17693,0.17765,0.00714,0.00734
Within R2,0.01042,0.01040,0.00056,0.00055
