"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.3807 (0.2503),0.3494 (0.2497),214.2 (639.6),199.0 (640.4),0.0139* (0.0061),0.0133* (0.0061),0.0079 (0.0051),0.0079 (0.0051)
male,-3.718*** (0.0250),-3.711*** (0.0250),-885.0*** (215.7),-878.1*** (216.1),-0.0119*** (0.0006),-0.0118*** (0.0006),-0.0007 (0.0005),-0.0007 (0.0005)
patient_male,0.0043 (0.0250),-0.0003 (0.0249),-228.1 (220.2),-231.2 (220.6),-0.0005 (0.0006),-0.0006 (0.0006),-0.0003 (0.0005),-0.0003 (0.0005)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,----------------,----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,________________,________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"3,629,907","3,629,707","3,629,907","3,629,707","3,629,907","3,629,707","3,629,907","3,629,707"
R2,0.04884,0.05063,0.00094,0.00097,0.00425,0.00486,0.00707,0.00712
Within R2,0.03796,0.03789,4.5e-5,4.44e-5,0.00028,0.00027,5.72e-6,5.63e-6
